Timestamp,State,LoadType,TargetV,CellV,Current_mA,Charge_mAh,Discharge_mAh
3.0375800132751465,WAIT_LOAD,NONE,0.0,-0.004,-0.104,0.0,0.0
3.3139357566833496,WAIT_LOAD,NONE,0.0,-0.004,-0.042,0.0,0.0
3.6022305488586426,WAIT_LOAD,NONE,0.0,-0.009,-0.013,0.0,0.0
3.879359483718872,WAIT_LOAD,NONE,0.0,-0.004,-0.072,0.0,0.0
4.16765832901001,WAIT_LOAD,NONE,0.0,-0.009,-0.046,0.0,0.0
4.45276951789856,WAIT_LOAD,NONE,0.0,-0.007,-0.042,0.0,0.0
4.737751245498657,WAIT_LOAD,NONE,0.0,-0.007,-0.024,0.0,0.0
5.02068567276001,WAIT_LOAD,NONE,0.0,-0.007,-0.053,0.0,0.0
5.303792715072632,WAIT_LOAD,NONE,0.0,-0.011,-0.006,0.0,0.0
5.587224721908569,WAIT_LOAD,NONE,0.0,-0.004,-0.068,0.0,0.0
5.870235919952393,WAIT_LOAD,NONE,0.0,-0.007,-0.053,0.0,0.0
6.156295537948608,WAIT_LOAD,NONE,0.0,-0.006,-0.057,0.0,0.0
6.438724517822266,WAIT_LOAD,NONE,0.0,-0.001,-0.079,0.0,0.0
6.722733974456787,WAIT_LOAD,NONE,0.0,-0.004,-0.053,0.0,0.0
6.999812126159668,WAIT_LOAD,NONE,0.0,-0.004,-0.108,0.0,0.0
7.285089492797852,WAIT_LOAD,NONE,0.0,-0.003,-0.079,0.0,0.0
7.569692373275757,WAIT_LOAD,NONE,0.0,-0.006,-0.079,0.0,0.0
7.856210708618164,WAIT_LOAD,NONE,0.0,-0.007,-0.031,0.0,0.0
8.138323545455933,WAIT_LOAD,NONE,0.0,-0.009,-0.009,0.0,0.0
8.422439575195312,WAIT_LOAD,NONE,0.0,-0.009,-0.039,0.0,0.0
8.702505826950073,WAIT_LOAD,NONE,0.0,-0.005,-0.046,0.0,0.0
8.986765146255493,WAIT_LOAD,NONE,0.0,-0.002,-0.086,0.0,0.0
9.273349046707153,WAIT_LOAD,NONE,0.0,-0.008,-0.039,0.0,0.0
9.555565118789673,WAIT_LOAD,NONE,0.0,-0.006,-0.05,0.0,0.0
9.833439588546753,WAIT_LOAD,NONE,0.0,-0.009,-0.061,0.0,0.0
10.12088918685913,WAIT_LOAD,NONE,0.0,-0.009,-0.057,0.0,0.0
10.402942895889282,WAIT_LOAD,NONE,0.0,-0.007,-0.053,0.0,0.0
10.68787956237793,WAIT_LOAD,NONE,0.0,-0.008,-0.039,0.0,0.0
10.972234964370728,WAIT_LOAD,NONE,0.0,-0.009,-0.05,0.0,0.0
11.254271745681763,WAIT_LOAD,NONE,0.0,-0.009,-0.035,0.0,0.0
11.538781642913818,WAIT_LOAD,NONE,0.0,-0.006,-0.079,0.0,0.0
11.816769123077393,WAIT_LOAD,NONE,0.0,-0.006,-0.097,0.0,0.0
12.10349416732788,WAIT_LOAD,NONE,0.0,-0.002,-0.097,0.0,0.0
12.382083892822266,WAIT_LOAD,NONE,0.0,-0.009,-0.05,0.0,0.0
12.672038555145264,WAIT_LOAD,NONE,0.0,-0.011,-0.046,0.0,0.0
12.95268726348877,WAIT_LOAD,NONE,0.0,-0.011,-0.009,0.0,0.0
13.237847089767456,WAIT_LOAD,NONE,0.0,-0.005,-0.104,0.0,0.0
13.522411346435547,WAIT_LOAD,NONE,0.0,-0.009,-0.028,0.0,0.0
13.80226731300354,WAIT_LOAD,NONE,0.0,-0.009,-0.002,0.0,0.0
14.085536003112793,WAIT_LOAD,NONE,0.0,-0.001,-0.115,0.0,0.0
